"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458272.01464224,2458272.01604292,121.018
2458274.95292924,2458274.95661365,318.333
2458276.95325328,2458276.95673971,301.228
2458279.99174021,2458279.99258611,73.086
2458343.24511500,2458343.24725892,185.235
2458343.33792506,2458343.34231235,379.062
2458344.27686722,2458344.28271252,505.034
2458344.36600550,2458344.37185847,505.696
2458345.24982662,2458345.25474851,425.251
2458345.33125121,2458345.33869014,642.724
2458345.41520501,2458345.42177056,567.263
